PEEQ,C1,C2,R_squared
0.0,0.03894039708143024,2.2815796221608746,0.06011990203228634
0.00011,0.01094104891890434,1.466358576508563,0.08987834518472193
0.0002,0.00472997998268939,1.2101158658411293,0.08552740749804
0.0003,0.0022807496724799176,1.137422993739852,0.04707461634480514
0.0004,0.0011422597482532854,1.1112503734752337,0.01692912904326227
0.0005,0.0004887275468593681,1.0971123836699617,0.0037312803659599325
0.0006,4.4388177361399245e-05,1.0868428736584335,3.479180987431274e-05
0.0007,-0.00029932552457314493,1.078264809957646,0.0017363141024233641
0.0008,-0.0005896163639376537,1.0707134437250192,0.007262793768444409
0.0009,-0.000848843054888495,1.0639286520325668,0.01601146161443112
0.001,-0.0010884452478770994,1.0577703284370605,0.0276846079530203
0.002,-0.0030340689921325706,1.0167519534372778,0.23266120812326663
0.003,-0.004462471506318842,0.9944387592548354,0.41319739432413394
0.004,-0.005505059312585093,0.9804827031938885,0.5229046994445653
0.005,-0.0062794147032017925,0.9710796401862417,0.5920072206836116
0.01,-0.008178923001783169,0.9514631186975715,0.7359271650381665
0.011,-0.008355772082193673,0.9499964008700252,0.7492036906117263
0.012,-0.008496231855445756,0.9489228684976153,0.7601084813465224
0.013,-0.008607303206608859,0.9481574174897197,0.7691109322198169
0.014,-0.008694415841187235,0.9476361299229361,0.7765514200909635
0.015,-0.008761847179162605,0.9473100895421567,0.7826840894172111
0.016,-0.008813011407440445,0.9471412631694522,0.7877034414862991
0.017,-0.008850664270262251,0.9470996833343788,0.7917615120685606
0.018,-0.008877052401993407,0.9471614624143169,0.7949793535016886
0.019,-0.008894023159721876,0.9473073708078512,0.797454942896558
0.02,-0.008831933816331544,0.9480680692037444,0.7940050110491885
0.021,-0.008873275039412001,0.9480399147415385,0.7981156785795034
0.022,-0.008910196401383526,0.9480483926800931,0.8017309279106853
0.023,-0.008943282168576684,0.9480872433958754,0.8048924598168623
0.024,-0.008973022724373017,0.9481513297547557,0.8076374922495838
0.025,-0.008999832611843776,0.9482364139434154,0.8099993891140863
0.026,-0.009024062675630107,0.9483389909322032,0.8120081765759807
0.027,-0.009046012036071853,0.9484561490741534,0.8136909727911131
0.028,-0.009065936262642647,0.9485854637230295,0.8150723496025758
0.029,-0.00908405442949034,0.9487249125955327,0.8161746397501122
0.03,-0.00910055558701938,0.9488728023353528,0.8170181996882216
0.031,-0.009115602255795704,0.9490277172553919,0.8176216357266605
0.032,-0.009129336113841723,0.9491884663598555,0.8180019994897565
0.033,-0.009141879932681812,0.9493540508163645,0.818174957450474
0.034,-0.00915334060670879,0.9495236335109062,0.8181549384103146
0.035,-0.009163811959830265,0.9496965071172263,0.8179552620689683
0.036,-0.009173375835732085,0.9498720803427829,0.8175882513490159
0.037,-0.009182104682160012,0.950049853752291,0.8170653306856216
0.038,-0.009190062014996635,0.9502294091778951,0.8163971121873536
0.039,-0.009197304673300447,0.9504103935851697,0.8155934712820961
0.04,-0.009203882413567177,0.9505925134382334,0.8146636132554648
0.041,-0.009209839746655277,0.9507755217058704,0.8136161318848859
0.042,-0.009215216782964608,0.9509592109268838,0.812459061214249
0.043,-0.009220048968477855,0.9511434092322235,0.8111999213878849
0.044,-0.009224368274438184,0.9513279741656939,0.8098457593160227
0.045,-0.00922820374242151,0.951512786075726,0.8084031848679919
0.046,-0.009231581356030194,0.9516977471008442,0.8068784031810797
0.047,-0.009234525156553673,0.9518827754146133,0.8052772435985712
0.048,-0.009237056119153451,0.9520678070886115,0.8036051856778488
0.049,-0.009239194629707626,0.9522527852795004,0.8018673826601378
0.05,-0.009240958188470177,0.9524376686423197,0.8000686827230666
0.051,-0.009242363638108382,0.9526224219129219,0.798213648312451
0.052,-0.009243426385119616,0.9528070159294919,0.7963065737843095
0.053,-0.009244160641867158,0.9529914292014023,0.7943515015767533
0.054,-0.009244579168006882,0.9531756467216255,0.792352237095415
0.055,-0.009244694580274437,0.953359654020913,0.7903123624579503
0.056,-0.00924451822240395,0.9535434421925433,0.7882352492348649
0.057,-0.009244060754284023,0.9537270040352028,0.786124070296213
0.058,-0.009243332292231489,0.9539103351924856,0.7839818108732912
0.059,-0.009242342418257214,0.9540934326238524,0.7818112788982279
0.06,-0.009241100066459153,0.954276294131237,0.7796151147065404
0.061,-0.009239613746685457,0.9544589196376378,0.7773958001661878
0.062,-0.009237891211224716,0.9546413101812317,0.7751556672684615
0.063,-0.009235940811981883,0.9548234636741944,0.7728969062454274
0.064,-0.009233769143223422,0.9550053838434304,0.7706215732337133
0.065,-0.00923138374908277,0.9551870704001304,0.7683315975395806
0.066,-0.00922879088665575,0.955368525249007,0.7660287885121223
0.067,-0.009225997219864952,0.9555497493725834,0.7637148420649644
0.068,-0.009223008825275478,0.9557307439499811,0.761391346867355
0.069,-0.009219831592675858,0.9559115103698094,0.7590597902156884
0.07,-0.009216471486427617,0.9560920481275033,0.7567215636156598
0.071,-0.009212933645081606,0.9562723588694941,0.7543779680812305
0.072,-0.009209223460466959,0.9564524433732202,0.7520302191681448
0.073,-0.00920534622120716,0.95663230040543,0.7496794517598093
0.074,-0.009201306890773663,0.9568119297847462,0.7473267246103237
0.075,-0.00919710987652362,0.9569913328974442,0.74497302465998
0.076,-0.009192760299582992,0.9571705068476231,0.7426192711333631
0.077,-0.009188262454084446,0.957349450885235,0.7402663194303511
0.078,-0.009183620513592367,0.9575281653149081,0.7379149648199694
0.079,-0.009178839059799791,0.957706646224864,0.7355659459426805
