Row,R-value
0,0.13464391115659213
1,0.6236219970630571
2,0.41173223807054726
3,0.18565017199527087
4,0.07707234114748
5,0.049125160063484094
6,0.05114672820075053
7,0.0604977470761113
8,0.06987977656484531
9,0.07782991540765916
10,0.08468905223634635
11,0.17054897880390335
12,0.2667808969454231
13,0.33514620582714894
14,0.3805552610501909
15,0.45190775334710864
16,0.45176482788030703
17,0.44941268447914373
18,0.44544541690851414
19,0.440335609063269
20,0.43446221986380673
21,0.4281285902466453
22,0.42157496914347825
23,0.41498800763898425
24,0.40850855218190607
25,0.3956479347659151
26,0.3932503554137656
27,0.39128878231496467
28,0.38975173202465063
29,0.38861382865660277
30,0.3878393789795793
31,0.3873854839147841
32,0.3872046888035646
33,0.3872471906076458
34,0.3874626318356037
35,0.38780151868784163
36,0.38821630528985546
37,0.38866218753167214
38,0.389097649621037
39,0.3894848045794491
40,0.3897895668943543
41,0.3899816919697098
42,0.39003471296563774
43,0.38992580153178635
44,0.3896355748580407
45,0.3891478676410295
46,0.3884494840037723
47,0.3875299412337439
48,0.3863812144390744
49,0.38499748881313184
50,0.3833749242427996
51,0.3815114353469195
52,0.3794064887366809
53,0.37706091827200305
54,0.3744767583325019
55,0.37165709453973467
56,0.3686059309994014
57,0.3653280728462039
58,0.3618290227522818
59,0.3581148899859111
60,0.3541923105894976
61,0.35006837730058427
62,0.3457505779035893
63,0.34124674080946404
64,0.3365649867304038
65,0.33171368546698077
66,0.3267014169264466
67,0.32153693558083335
68,0.31622913772355676
69,0.3107870309417238
70,0.3052197053634934
71,0.29953630627902295
72,0.2937460078552926
73,0.28785798772090143
74,0.28188140225227865
75,0.2758253624746283
76,0.2696989105144096
77,0.2635109965971346
78,0.25727045662052345
79,0.250985990346646
80,0.24466614029302042
81,0.23831927141031123
82,0.2319535516480949
83,0.22557693351342908
84,0.21919713672420166
